"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 23:42:07 SAMT 2019","Wed Oct 16 23:42:09 SAMT 2019","1734","test","test_add_group","","","","test_add_group[None:name7dvN nm:header:footerDJylPOO]",""
"passed","Wed Oct 16 23:42:05 SAMT 2019","Wed Oct 16 23:42:07 SAMT 2019","2024","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
